date,kmstotales,elitro,euros,litros,kms
24-04-2010,23678,1.180,42.00,35.59,450
16-05-2010,24058,1.200,43.00,35.83,380
27-05-2010,24488,1.160,44.00,37.93,430
12-06-2010,24960,1.180,45.00,38.14,472
28-06-2010,25334,1.170,40.00,34.19,374
21-07-2010,25729,1.180,39.00,33.05,395
03-09-2010,26323,1.160,40.00,34.48,594
27-09-2010,26892,1.150,39.00,33.91,569
19-10-2010,27268,1.180,37.00,31.36,376
08-11-2010,27671,1.170,41.00,35.04,403
23-11-2010,28119,1.190,43.00,36.13,448
04-12-2010,28526,1.250,45.00,36.00,407
17-12-2010,28957,1.250,45.00,36.00,431
05-01-2011,29334,1.260,44.00,34.92,377
24-01-2011,29762,1.260,46.50,36.90,428
16-02-2011,30193,1.280,48.00,37.50,431
08-03-2011,30649,1.330,48.00,36.09,456
01-04-2011,31142,1.354,52.51,38.78,493
16-04-2011,31622,1.354,50.00,38.00,480
09-05-2011,32103,1.342,50.02,37.27,481
27-05-2011,32583,1.358,50.29,37.03,480
09-06-2011,33093,1.317,51.01,38.73,510
28-06-2011,33545,1.308,48.00,36.70,452
11-07-2011,33959,1.345,50.01,37.18,414
08-09-2011,34451,1.349,52.00,38.55,492
28-09-2011,34908,1.314,50.00,38.05,457
11-10-2011,35362,1.339,50.00,37.34,454
24-10-2011,35900,1.312,49.02,37.36,538
10-11-2011,36312,1.325,50.50,38.11,412
21-11-2011,36794,1.295,48.01,37.07,482
07-12-2011,37169,1.295,40.02,30.90,375
22-12-2011,37580,1.295,45.00,34.75,411
09-01-2012,38015,1.368,45.01,32.90,435
20-01-2012,38439,1.383,48.00,34.71,424
16-02-2012,38825,1.409,46.03,32.67,386
10-03-2012,39178,1.347,46.50,34.52,353
29-03-2012,39612,1.505,50.01,33.23,434
21-04-2012,40033,1.479,55.00,37.19,421
19-05-2012,40466,1.349,48.00,35.58,433
30-05-2012,40957,1.416,53.02,37.44,491
17-06-2012,41363,1.360,48.01,35.30,406
26-07-2012,42103,1.389,50.00,36.00,740
12-08-2012,42495,1.459,46.00,31.53,392
18-08-2012,43153,1.459,46.00,31.53,658
21-08-2012,43810,1.486,53.02,35.68,657
23-08-2012,44297,1.549,56.00,36.15,487
28-08-2012,44765,1.480,52.60,35.54,468
14-09-2012,45154,1.485,52.00,35.02,389
12-10-2012,45472,1.518,50.00,32.94,318
14-10-2012,46000,1.539,55.02,35.75,528
31-10-2012,46481,1.382,47.02,34.02,481
26-11-2012,46808,1.389,46.02,33.13,327
13-12-2012,47112,1.374,44.23,32.19,304
06-01-2013,47387,1.418,43.02,30.34,275
22-01-2013,47657,1.410,48.01,34.05,270
24-02-2013,47953,1.484,39.00,26.28,296
23-03-2013,48197,1.456,50.03,34.36,244
27-03-2013,48691,1.440,46.35,32.19,494
29-03-2013,49200,1.498,53.06,35.42,509
31-03-2013,49691,1.487,51.09,34.36,491
18-04-2013,50078,1.401,43.36,30.95,387
01-05-2013,50479,1.443,49.81,34.52,401
04-05-2013,51032,1.388,52.56,37.87,553
15-06-2013,51381,1.435,50.76,35.37,349
03-07-2013,51771,1.413,45.50,32.20,390
06-07-2013,52044,1.443,33.97,23.54,273
07-07-2013,52341,1.422,28.13,19.78,297
28-07-2013,52810,1.479,56.66,38.31,469
11-08-2013,53171,1.479,53.17,35.95,361
13-08-2013,53705,1.479,52.18,35.28,534
17-08-2013,54182,1.489,50.00,33.58,477
20-08-2013,54676,1.499,52.38,34.94,494
22-08-2013,55072,1.489,42.21,28.35,396
09-09-2013,55512,1.448,48.09,33.21,440
,,,,#DIV/0!,"-55,512"
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0
,,,,#DIV/0!,0